Site,Depth_m,Depth_Group1,Depth_Group2,Temperature,Habitat,Aspect_descriptive,Aspect_scale,Benthic_Complexity,Kyphosus cinerascens,Kyphosus vaigiensis,Naso brachycentron,Naso lituratus,Naso tonganus,Naso unicornis,Acanthurus auranticavus,Acanthurus blochii,Acanthurus dussumieri,Acanthurus fowleri,Acanthurus grammoptilus,Acanthurus guttatus,Acanthurus leucocheilus,Acanthurus lineatus,Acanthurus nigricans,Acanthurus nigricauda,Acanthurus nigrofuscus,Acanthurus nigroris,Acanthurus pyroferus,Acanthurus triostegus,Acanthurus xanthopterus,Centropyge bicolor,Centropyge bispinosa,Centropyge flavissima,Centropyge heraldi,Centropyge loriculus,Centropyge tibicen,Centropyge vrolikii,Hipposcarus longiceps,Plectroglyphidodon johnstonianus,Plectroglyphidodon lacrymatus,Siganus argenteus,Siganus fuscescens,Siganus punctatissimus,Siganus stellatus,Stegastes fasciolatus,Zebrasoma scopas,Zebrasoma velifer,Acanthurus olivaceus,Ctenochaetus binotatus,Ctenochaetus cyanocheilus,Ctenochaetus striatus,Bolbometopon muricatum,Cetoscarus ocellatus,Chlorurus bleekeri,Chlorurus frontalis,Chlorurus microrhinos,Chlorurus spilurus,Scarus rubroviolaceus,Scarus altipinnis,Scarus chameleon,Scarus dimidiatus,Scarus festivus,Scarus flavipectoralis,Scarus forsteni,Scarus frenatus,Scarus ghobban,Scarus globiceps,Scarus longipinnis,Scarus niger,Scarus oviceps,Scarus psittacus,Scarus rivulatus,Scarus schlegeli,Scarus spinus,Scarus tricolor
BOUG-01,54.7,50-60m,Upper_meso,28,outer_reef,steep_slope,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,57.2,50-60m,Upper_meso,28,outer_reef,steep_slope,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,57.8,50-60m,Upper_meso,28,outer_reef,steep_slope,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,58.1,50-60m,Upper_meso,27.9,outer_reef,steep_slope,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
BOUG-01,65,60-70m,Lower_meso,27.5,outer_reef,steep_slope,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,66.3,60-70m,Lower_meso,26.5,outer_reef,steep_slope,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,66.7,60-70m,Lower_meso,27.5,outer_reef,wall,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,67.8,60-70m,Lower_meso,27.5,outer_reef,wall,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
BOUG-01,76.4,70-80m,Lower_meso,26.2,outer_reef,steep_slope,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,81.9,80-90m,Lower_meso,26.2,outer_reef,steep_slope,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,85.7,80-90m,Lower_meso,26.2,outer_reef,wall,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-02,9.8,0-10m,Shallow,30,outer_reef,steep_slope,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-02,13.4,10-20m,Shallow,30,outer_reef,steep_slope,3,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
