Site,Depth_m,Depth_group2,Depth_group,Habitat,Habitat_simplified,Aspect_descriptive,browser,cleaner,corallivore,cropper,detritivore,excavator,invertivore-mobile,invertivore-sessile,macro-invertivore,micro-invertivore,NA,omnivore,pisci-invertivore,piscivore,planktivore,scraper,spongivore
BOUG-01,22.3,30,Shallow,outer_reef,outer_slope,wall,0,0,223.9999983,31.85815135,0,0,0,0,409.5049929,64.16511862,0,0,0,0,4070.460336,0,43.9238257
BOUG-01,24.1,30,Shallow,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,28.5,30,Shallow,outer_reef,outer_slope,wall,0,0,63.36927278,902.02307,0,0,0,0,150.8713386,869.1007551,685.1673361,0,694.8148042,0,0,0,0
BOUG-01,35.1,40,Upper_meso,outer_reef,outer_slope,wall,0,0,0,1713.672071,43.23923966,0,0,0,0,119.798718,737.8951206,0,3564.502131,0,0,0,0
BOUG-01,36.4,40,Upper_meso,outer_reef,outer_slope,wall,0,0,21.26590183,2060.001744,0,0,0,0,0,66.4475252,174.5232679,121.9558899,729.6144933,0,4158.578375,144.7804662,0
BOUG-01,38.6,40,Upper_meso,outer_reef,outer_slope,wall,0,0,29.67490266,0,0,0,0,0,0,0,0,19.30801873,0,0,0,0,0
BOUG-01,43.7,50,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,98.42933871,1053.752645,214.1250913,0,0,0,0,0,0
BOUG-01,45,50,Upper_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,25.4594389,215.2274228,229.4106647,0,136.5185862,0,2431.190101,0,0
BOUG-01,45.5,50,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,449.6771584,85.29382857,0,0,0,0,1615.38541,1659.078839,464.5039689,0,18072.06107,0,0,165.5353945,0
BOUG-01,47.4,50,Upper_meso,outer_reef,outer_slope,wall,0,0,8.950230868,0,0,0,0,0,151.115024,948.0568999,199.8599867,0,97.64657741,0,0,0,0
BOUG-01,54.7,60,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,171.1441947,5498.515482,0,214.9854963,0,3556.943709,1068.377673,0
BOUG-01,57.2,60,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,31.7427292,0,0,0,0,0,808.4055669,0,0,1519.941162,0,3754.465625,0,0
BOUG-01,57.4,60,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,1854.79784,555.7094743,0.657502485,0,0,0,2418.340906,0,0
BOUG-01,57.8,60,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,38.14689391,159.8061391,0,0,0,0,0,432.1746468,408.7960689,0,39910.36321,0,0,0,0
BOUG-01,58.1,60,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,22.76569161,0,0,0,0,295.2953691,213.2703303,1067.385449,0,129.2830029,0,0,4227.73128,0
BOUG-01,65,70,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,213.7968547,816.7459797,0,0,0,0,0,690.0503343,417.7589494,0,174925.9593,248544.9117,0,0,24.90798548
BOUG-01,66.3,70,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,66.3,70,Lower_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,582.7038616,863.9719927,911.0010045,0,12513.73507,0,2366.604047,0,0
BOUG-01,66.7,70,Lower_meso,outer_reef,outer_slope,wall,0,0,0,96.47419913,0,0,0,0,708.429706,1781.7527,271.6512039,0,649284.1283,0,0,977.9882717,0
BOUG-01,67.3,70,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,354.0917708,1627.51662,0,797.8004479,0,0,0,0
BOUG-01,67.8,70,Lower_meso,outer_reef,outer_slope,wall,0,0,25.29564052,0,0,0,0,0,2015.385978,798.0948111,8565.673219,0,78.19838,0,4520.369419,4447.816482,0
BOUG-01,71.4,80,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,76.4,80,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,81.9,90,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,85.7,90,Lower_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,90.9,100,Lower_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,91.1,100,Lower_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,98.5,100,Lower_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-02,9.8,10,Shallow,outer_reef,outer_slope,steep_slope,0,0,81.51906766,191.1758609,0,0,0,0,0,785.4887563,334.6940925,161.0083956,616.5831217,0,5236.010673,1718.503909,0
BOUG-02,13.4,20,Shallow,outer_reef,outer_slope,steep_slope,908.7657352,0,63.57102217,154.9750773,142.7476028,0,0,0,0,1112.872748,213.1610837,0,7395.834987,321.7980182,7398.90331,7512.822299,0
BOUG-02,15.4,20,Shallow,outer_reef,outer_slope,moderate_slope,0,0,0,162.8961911,0,1915.970031,0,0,0,147.0157182,0,89.55740162,0,77.79303417,257.7067366,0,0
BOUG-02,22.3,30,Shallow,outer_reef,outer_slope,steep_slope,228.8700887,0,446.9976595,1421.511478,0,1975.424127,0,78.6600209,237.4699146,843.33319,156.615836,0,4316.081074,289.2537164,699.8907606,3321.139424,0
BOUG-02,24.2,30,Shallow,outer_reef,outer_slope,wall,0,0,0,248.0388827,0,0,0,0,99.54619153,0,3.567796277,0,1502.341659,0,2524.0507,0,0
BOUG-02,24.8,30,Shallow,outer_reef,outer_slope,steep_slope,0,0,348.2864048,81.22257359,34.3439097,3780.104268,0,0,118.8431439,206.9803816,90.3574141,0,0,0,0,0,0
BOUG-02,27.3,30,Shallow,outer_reef,outer_slope,wall,0,0,244.3280835,138.471098,61.39633965,0,0,216.4357315,0,656.8939642,384.9731748,0,259.0592264,0,1323.89465,1920.189836,0
BOUG-02,28.4,30,Shallow,outer_reef,outer_slope,wall,0,0,69.40717637,146.6065973,95.82400765,5373.498251,0,0,0,479.5615327,0,0,0,0,0,0,0
BOUG-02,31.1,40,Upper_meso,outer_reef,outer_slope,moderate_slope,0,0,64.64942401,205.8141498,135.8551225,8133.826399,0,0,472.6188238,1465.798899,0,0,0,0,2354.592,6159.852592,0
BOUG-02,32.5,40,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,384.6898215,138.5322536,0,0,0,498.1583036,327.5589322,0,0,35.00293927,0,1478.835554,9131.341082,0
BOUG-02,33.1,40,Upper_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,2370.884638,276.2603866,0,0,75.3810647,0,5103.36191,283.8793209,0
BOUG-02,35.1,40,Upper_meso,outer_reef,outer_slope,wall,0,0,0,0,0,0,0,0,115.7263959,0,45.20678412,0,0,0,3003.245169,0,0
BOUG-02,37.2,40,Upper_meso,outer_reef,outer_slope,wall,0,0,12.64606786,0,0,0,0,0,0,101.9880176,0,0,1014.530172,0,2689.945318,0,0
BOUG-02,44.9,50,Upper_meso,outer_reef,outer_slope,wall,0,0,0,114.3627206,0,0,0,0,464.7125448,24.85072034,131.3698236,0,6034.746728,0,0,0,0
BOUG-02,45,50,Upper_meso,outer_reef,outer_slope,moderate_slope,0,0,15.80606222,359.9586677,0,0,0,0,777.9025508,138.1710565,0,0,43.5073921,0,0,0,0
BOUG-02,45.8,50,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,93.94249712,71.89009031,0,0,0,843.4087266,1910.133548,0,0,0,0,953.2303762,0,0
BOUG-02,47,50,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,404.919252,39.77984786,0,0,0,0,1134.397193,0,0
BOUG-02,47.6,50,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,10.11151043,0,0,0,0,0,163.922763,0,0,212.0026572,0,890.8830356,0,0
BOUG-02,52.1,60,Upper_meso,outer_reef,outer_slope,steep_slope,549.0429035,0,91.11280867,87.66254696,64.56821159,0,0,0,326.1358896,614.7219908,0,2172.621683,63.53197468,0,0,0,0
BOUG-02,53.6,60,Upper_meso,outer_reef,outer_slope,moderate_slope,0,0,0,100.1108111,0,401.2336982,0,0,4868.992461,211.9599789,771.768195,0,152.899709,0,0,0,0
BOUG-02,55.3,60,Upper_meso,outer_reef,outer_slope,moderate_slope,348.7279571,0,0,681.5981099,241.7086984,4340.161177,0,0,0,710.5383573,0,0,1455.729863,0,4852.769167,6306.775216,0
BOUG-02,57.7,60,Upper_meso,outer_reef,outer_slope,moderate_slope,0,0,0,5.062297454,0,0,0,0,0,0,0,0,390662.8649,71837.43789,673.4742176,0,0
BOUG-02,58.4,60,Upper_meso,outer_reef,outer_slope,moderate_slope,0,0,0,3.281236562,0,0,0,0,0,330.6901117,0,0,0,0,0,0,0
BOUG-02,63,70,Lower_meso,outer_reef,outer_slope,wall,0,0,84.80646552,0,70.69172529,0,0,0,283.3529664,39.91700707,0,0,0,0,2472.007593,0,0
BOUG-02,63.8,70,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,700.5120173,357.4110123,139.8490368,0,86.29442927,22779.09825,0,0,0
BOUG-02,64.5,70,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,1057.753392,0,0,594.8818921,2373.177881,0,0,45.56708143,53513.06895,5014.534873,3296.193076,0
BOUG-02,67.1,70,Lower_meso,outer_reef,outer_slope,steep_slope,0,0,10.50049924,493.7721722,0,12582.26646,0,0,618.2659465,439.5372242,279.7965823,0,52933.96203,0,5123.793489,0,0
CHIL-01,36.5,40,Upper_meso,lagoon,lagoon,flat,0,0,0,0,0,0,0,0,0,0,1113.273499,0,0,0,0,0,0
EDIA-01,10,10,Shallow,bommie,inner_reef,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,15,20,Shallow,bommie,inner_reef,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,15,20,Shallow,bommie,inner_reef,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,19,20,Shallow,bommie,inner_reef,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,21,30,Shallow,bommie,inner_reef,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,25,30,Shallow,bommie,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,26,30,Shallow,bommie,inner_reef,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,32,40,Upper_meso,bommie,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,38,40,Upper_meso,bommie,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,39,40,Upper_meso,bommie,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,45,50,Upper_meso,bommie,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,48,50,Upper_meso,bommie,inner_reef,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,48,50,Upper_meso,bommie,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,50,50,Upper_meso,bommie,inner_reef,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,8.7,10,Shallow,inner_reef,inner_reef,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,9,10,Shallow,inner_reef,inner_reef,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,15.2,20,Shallow,inner_reef,inner_reef,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,15.4,20,Shallow,inner_reef,inner_reef,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,19.1,20,Shallow,inner_reef,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,20,20,Shallow,inner_reef,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,24.2,30,Shallow,inner_reef,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,25,30,Shallow,inner_reef,inner_reef,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,30.9,40,Upper_meso,inner_reef,inner_reef,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,32.8,40,Upper_meso,inner_reef,inner_reef,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,9.8,10,Shallow,outer_reef,outer_slope,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,14,20,Shallow,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,19.1,20,Shallow,outer_reef,outer_slope,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,26.7,30,Shallow,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,39,40,Upper_meso,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,48,50,Upper_meso,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,51.3,60,Upper_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,63,70,Lower_meso,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,69,70,Lower_meso,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,79,80,Lower_meso,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,86,90,Lower_meso,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,96,100,Lower_meso,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,5.2,10,Shallow,outer_reef,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,9.9,10,Shallow,outer_reef,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,15.3,20,Shallow,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,20.4,30,Shallow,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,25.3,30,Shallow,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,30.2,40,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN-01,34.3,40,Upper_meso,outer_reef,outer_slope,steep_slope,0,0,87.19011617,0,0,0,0,0,0,0,0,0,3771.29614,1205.082584,0,0,0
