Site,Depth_m,Temperature,Habitat,Habitat_simplified,Aspect_descriptive,Aspect_scale,Benthic_Complexity,browser,cleaner,corallivore,cropper/grazer,detritivore,excavator,macro-invertivore,micro-invertivore,NA,pisci-invertivore,piscivore,planktivore,scraper,spongivore,omnivore,invertivore-sessile,invertivore-mobile,All_herbs
BOUG-01,3.6,27.4,outer_reef,outer_slope,steep_slope,3,2.5,1,0,4,99,30,13,22,9,25,5,2,416,2,1,0,0,0,145
BOUG-01,5.5,27.4,outer_reef,outer_slope,wall,4,3,0,0,0,4,7,1,46,5,1,3,2,2431,1,0,0,1,0,13
BOUG-01,7.5,27.4,outer_reef,outer_slope,wall,4,2,4,0,1,5,7,8,42,2,2,9,1,537,1,0,0,0,0,25
BOUG-01,9.3,27.4,outer_reef,outer_slope,wall,4,3,7,0,0,14,1,1,53,4,2,5,0,1159,4,0,0,0,0,27
BOUG-01,12.5,27.4,outer_reef,outer_slope,wall,4,3.5,22,0,0,2,0,0,22,5,1,9,2,993,0,0,1,0,0,24
BOUG-01,13.8,27.4,outer_reef,outer_slope,steep_slope,3.5,3,0,0,0,8,0,0,8,7,1,3,0,597,1,0,10,0,0,9
BOUG-01,17.6,27.4,outer_reef,outer_slope,wall,4,3,0,0,0,5,0,0,5,1,0,5,3,1623,0,0,0,0,0,5
BOUG-01,20.3,27.4,outer_reef,outer_slope,wall,4,3.5,0,0,1,1,0,0,0,3,10,8,0,1222,0,0,10,0,0,1
BOUG-01,22.3,29.2,outer_reef,outer_slope,wall,4,3,0,0,2,1,0,0,1,3,0,0,0,69,0,1,0,0,0,1
BOUG-01,24.1,27.4,outer_reef,outer_slope,wall,4,3,0,0,0,0,0,0,0,2,1,1,0,58,0,0,0,0,0,0
BOUG-01,28.5,29.1,outer_reef,outer_slope,wall,4,4,0,0,1,2,0,0,1,10,5,1,0,97,0,0,0,0,0,2
BOUG-01,35.1,28.9,outer_reef,outer_slope,wall,4,5,0,0,0,5,1,0,0,2,4,3,0,305,0,0,0,0,0,6
BOUG-01,36.4,28.9,outer_reef,outer_slope,wall,4,5,0,0,1,2,0,0,0,2,3,1,0,160,1,0,8,0,0,3
BOUG-01,38.6,28.6,outer_reef,outer_slope,wall,4,4,0,0,1,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0
BOUG-01,43.7,28.3,outer_reef,outer_slope,steep_slope,3,5,0,0,0,0,0,0,1,2,2,0,0,250,0,0,0,0,0,0
BOUG-01,45,28.1,outer_reef,outer_slope,wall,4,4,0,0,0,0,0,0,1,2,10,2,0,138,0,0,0,0,0,0
BOUG-01,45.5,28.1,outer_reef,outer_slope,steep_slope,3,5,0,0,3,1,0,0,6,9,1,6,0,194,1,0,0,0,0,2
BOUG-01,47.4,28,outer_reef,outer_slope,wall,4,5,0,0,1,0,0,0,1,3,1,1,0,184,0,0,0,0,0,0
BOUG-01,54.7,28,outer_reef,outer_slope,steep_slope,3,5,0,0,0,0,0,0,0,4,8,3,0,119,1,0,0,0,0,1
BOUG-01,57.2,28,outer_reef,outer_slope,steep_slope,3,5,0,0,0,3,0,0,0,10,0,5,0,261,0,0,0,0,0,3
BOUG-01,57.4,28,outer_reef,outer_slope,steep_slope,3,5,0,0,0,0,0,0,3,8,1,0,0,151,0,0,0,0,0,0
BOUG-01,57.8,28,outer_reef,outer_slope,steep_slope,3,5,0,0,2,2,0,0,0,6,4,3,0,135,0,0,0,0,0,2
BOUG-01,58.1,27.9,outer_reef,outer_slope,steep_slope,3,4,0,0,0,2,0,0,1,4,11,3,0,89,4,0,0,0,0,6
