Site,Depth_Group2,Aspect_descriptive,Aspect_descriptive2,Kyphosus cinerascens,Kyphosus vaigiensis,Naso brachycentron,Naso lituratus,Naso tonganus,Naso unicornis, Acanthurus auranticavus,Acanthurus blochii,Acanthurus dussumieri,Acanthurus fowleri, Acanthurus grammoptilus,Acanthurus guttatus,Acanthurus leucocheilus,Acanthurus lineatus,Acanthurus nigricans,Acanthurus nigricauda,Acanthurus nigrofuscus,Acanthurus nigroris,Acanthurus pyroferus,Acanthurus triostegus,Acanthurus xanthopterus,Centropyge bicolor,Scarus tricolor,Scarus spinus,Scarus schlegeli, Scarus rivulatus,Scarus psittacus,Scarus oviceps,Scarus niger,Scarus longipinnis,Scarus globiceps,Scarus ghobban,Scarus frenatus,Scarus forsteni,Scarus flavipectoralis,Scarus festivus,Scarus chameleon,Scarus dimidiatus,Scarus altipinnis,Scarus rubroviolaceus,Chlorurus spilurus,Chlorurus microrhinos,Chlorurus frontalis,Chlorurus bleekeri,Cetoscarus ocellatus,Bolbometopon muricatum,Ctenochaetus striatus,Ctenochaetus cyanocheilus,Ctenochaetus binotatus,Acanthurus olivaceus,Zebrasoma velifer,Zebrasoma scopas,Stegastes fasciolatus,Siganus stellatus,Siganus punctatissimus,Siganus fuscescens,Siganus argenteus,Plectroglyphidodon lacrymatus,Plectroglyphidodon johnstonianus,Hipposcarus longiceps,Centropyge vrolikii,Centropyge tibicen,Centropyge loriculus,Centropyge heraldi,Centropyge flavissima,Centropyge bispinosa
OSPR-03,Lower_meso,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
OSPR-03,Lower_meso,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSPR-03,Shallow,moderate_slope,slope,0,0,0,1,0,0,0,0,0,0,1,0,0,3,10,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,1,0,1,0,6,0,0,0,23,1,0,0,0,0,132,0,14,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSPR-03,Shallow,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OSPR-03,Shallow,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OSPR-03,Upper_meso,steep_slope,slope,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSPR-03,Upper_meso,wall,wall,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAUM-01,Shallow,flat,flat,0,0,0,0,2,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
SDIA-01,Upper_meso,flat,flat,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDIA-02,Lower_meso,flat,flat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDIA-02,Lower_meso,gentle_slope,slope,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,8
SDIA-02,Shallow,gentle_slope,slope,0,0,0,1,0,0,0,24,0,0,13,0,0,0,0,0,10,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SDIA-02,Upper_meso,flat,flat,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,12,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAR-01,Lower_meso,moderate_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAR-01,Lower_meso,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHAR-01,Shallow,flat,flat,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAR-01,Shallow,gentle_slope,slope,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAR-01,Upper_meso,steep_slope,slope,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SWCA-01,Lower_meso,flat,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWCA-01,Shallow,gentle_slope,slope,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,3
